,Selective CI Lengths,Naive CI Lengths,Data Splitting CI Lengths
0,27.4367855560845,21.078717035660652,42.185018371602354
1,27.9963962575722,22.30600931997133,42.240415426960894
2,26.996508469586626,20.781658752228875,39.679383752695486
3,30.45402012647135,23.557628844236827,41.52088263892288
4,30.352822732859284,23.406860723473617,46.02806224888163
5,27.976829445225153,20.631860558363492,37.38496825533528
6,28.264303015373226,21.03883131245071,35.2261358878254
7,25.624637898576513,20.900247910646478,38.865082704539
8,29.634778541594034,22.4967573304597,50.6275542729289
9,31.75686293122556,23.835894236970564,50.30562358953641
10,28.96343154100572,22.991684141607386,49.16918759967579
11,27.49089138732891,20.863496990914385,42.60796336276219
12,27.699059100744538,21.135593733705303,45.924357314526304
13,27.18296693690313,21.431209104897267,41.92190341035185
14,31.061371910196254,24.036867417005638,48.546658736011445
15,29.181059519081572,22.271809201206278,43.729298384005794
16,28.335474526215595,21.887767916958374,46.51678838890572
17,27.53374285851997,21.676867794429786,43.277315490242636
18,27.8415051660407,20.98155515262459,47.674292222536245
19,26.703796550699764,19.78114332415869,37.26860810535329
20,26.444028880082353,21.544363236039228,38.498711305082075
21,29.624088031447307,22.91813183655575,45.93852935022835
22,31.05299996822712,23.751197615735347,43.1612081251931
23,27.737890117585206,20.85070861170798,35.529383923618056
24,31.046267128137067,22.616670319595958,44.79975650145562
25,27.92955997919724,21.674113684538412,43.01921565975373
26,28.405191871412548,22.060449120020962,46.38740214453499
27,30.109775680267635,23.43716596341947,43.681383207995715
28,26.58176620737935,20.589443342811403,37.8439568918209
29,28.916959078571054,21.665576603554634,46.48966050670034
30,28.714743501395926,21.94997539495562,38.28629553086666
31,28.24860564597886,22.770002446562266,50.50725260618549
32,33.935158884927574,25.137764142896177,45.389880698072375
33,27.337877215453076,21.951032488597413,38.53724380667946
34,30.238335816438852,23.503747664194133,38.94056814499008
35,29.45646250933364,22.272860430634314,42.63212434779545
36,28.36297851179668,21.662719073386487,41.80857797171037
37,33.050211518690446,25.62423768703581,47.365321137648834
38,28.077420666831394,20.267319662536877,39.35347411083988
39,31.606710037629647,24.4269980574654,47.083599891350396
40,30.27179477380739,23.765890443695163,41.93285542102641
41,28.046329238669728,21.561679344609193,39.75439479895281
42,30.743639521895478,24.476616009931476,49.456842813197255
43,26.940809522106665,20.665512210820552,36.147532206426504
44,28.476623736390742,22.264647835022494,43.279293593725804
45,29.101567503682322,23.209573859921676,44.36619282846181
46,27.997403631031272,21.096271656737716,41.6302097199135
47,29.630565222771583,22.558201924550612,42.587049282144974
48,28.803677624271593,22.861033545511557,50.28923796691736
49,27.823117837264974,22.531210423591077,47.59865229873387
50,29.786382469910166,21.881275573443563,45.78201587307355
51,34.39806384534497,25.624684610729386,42.98181767177319
52,30.368339540025257,23.63535428868246,44.97723406412007
53,28.98238858956575,22.176127545561613,39.512767940709736
54,26.672133738643105,20.476137561542938,37.09093206215403
55,27.04446525000649,20.516569442983645,36.38414287496135
56,27.441258349430612,20.20105080762589,34.95802671710079
57,28.801956043420148,21.64682083823821,47.0020023095393
58,26.007402388863394,20.344722748106577,36.61427753137813
59,25.099353663393483,20.77933779417458,37.6442427292925
60,35.16747206864761,25.768859877070316,55.04823828313533
61,26.281414053590577,20.15956851020134,38.41723292010967
62,27.23799689998519,21.074172601284967,44.16495458969863
63,29.7026482292772,22.437616475870055,47.40148569112341
64,28.74566292007304,21.900752982446086,46.751619065815085
65,30.07204581835152,23.549086989036077,41.08911016746164
66,28.646131738562907,21.977586556313277,44.80969899333746
67,23.158560443176157,18.56082453321901,36.52113856188518
68,32.82676953944186,23.99670803431039,46.671744893152095
69,29.31463842611289,22.507505340191443,46.890041389763
