,Selective Coverage,Naive Coverage,Data Splitting Coverage
0,0.9444444444444444,0.7777777777777778,1.0
1,0.9,0.7,0.9375
2,1.0,0.6428571428571429,0.9333333333333333
3,0.8181818181818182,0.6363636363636364,0.6666666666666666
4,0.8181818181818182,0.7272727272727273,0.9166666666666666
5,1.0,0.7272727272727273,1.0
6,0.9375,0.8125,0.8947368421052632
7,0.8181818181818182,0.45454545454545453,0.8333333333333334
8,1.0,0.7222222222222222,1.0
9,0.9333333333333333,0.7333333333333333,0.96
10,0.875,0.75,0.9523809523809523
11,0.8461538461538461,0.7692307692307693,0.9333333333333333
12,1.0,0.75,0.9130434782608695
13,1.0,0.5833333333333334,0.7142857142857143
14,0.8333333333333334,0.8333333333333334,0.7083333333333334
15,1.0,0.7058823529411765,0.8823529411764706
16,0.8181818181818182,0.7272727272727273,1.0
17,0.7777777777777778,0.3333333333333333,0.9473684210526315
18,0.875,0.875,1.0
19,0.7894736842105263,0.6842105263157895,0.9473684210526315
20,0.8461538461538461,0.6153846153846154,0.8888888888888888
21,1.0,0.75,1.0
22,0.8181818181818182,0.7272727272727273,0.8
23,0.9090909090909091,0.9090909090909091,1.0
24,1.0,0.7777777777777778,1.0
25,1.0,0.8571428571428571,0.8947368421052632
26,0.6923076923076923,0.6153846153846154,0.8947368421052632
27,1.0,0.5,1.0
28,0.7777777777777778,0.5555555555555556,0.8823529411764706
29,0.7333333333333333,0.6,1.0
30,1.0,0.6428571428571429,0.7333333333333333
31,0.7857142857142857,0.7142857142857143,1.0
32,0.9375,0.8125,0.9230769230769231
33,1.0,1.0,0.875
34,0.9090909090909091,0.8181818181818182,1.0
35,0.9230769230769231,0.6923076923076923,0.8823529411764706
36,1.0,0.75,0.9375
37,1.0,0.7692307692307693,0.7272727272727273
38,1.0,0.5882352941176471,1.0
39,0.9333333333333333,0.7333333333333333,0.8947368421052632
40,0.9090909090909091,0.8181818181818182,0.9411764705882353
41,0.7272727272727273,0.7272727272727273,0.9333333333333333
42,0.9,0.7,1.0
43,0.9166666666666666,0.8333333333333334,0.7894736842105263
44,1.0,0.7272727272727273,1.0
45,0.8,0.6,1.0
46,1.0,0.5,0.9375
47,1.0,0.6153846153846154,0.782608695652174
48,1.0,0.7692307692307693,1.0
49,1.0,0.4444444444444444,1.0
