"x"
"Value_30min_before"
"Baseline_steps"
"IsWeekend"
"IsIndoor"
"IsLossFramed"
"IsSnow"
"IsActivity"
"Value_30min_before_tran"
"AgeEnrollment_years"
"ExerciseTimeAgg_min"
"WalkDistanceAgg_m"
"StepsAgg_priorweek"
"Value_tran_sd_week"
"Value_tran_sd_priorweek"
"Distance_m_0"
"Naf"
"Nev"
"Nlu"
"Nmo"
"RaceC"
"GenderM"
"P2"
"P3"
"outcome"
