"Estimate","Std. Error","t value","Pr(>|t|)"
4.21372538935872,0.18935971668614,22.2524909896379,2.08303371929012e-106
0.000215365503988316,4.42877340846415e-05,4.86287023799221,1.17960835684753e-06
-0.143174488489797,0.037028757939851,-3.86657550659321,0.000111271610844192
0.0417628516277983,0.0363308526527469,1.14951476715867,0.25037904870175
0.326206724595463,0.0396408641148818,8.22905181002348,2.19353412027863e-16
1.81118113004288e-05,8.64932956868428e-06,2.09401331705573,0.0362910115914397
-0.00451587627767033,0.0688226639446433,-0.0656161214756613,0.947685136360794
-0.026322708108501,0.0583567588509103,-0.451065285783779,0.651955043483467
-0.192277334515154,0.129016967090627,-1.49032595364059,0.136179012336434
-0.230617231183615,0.343889212929136,-0.670614903036047,0.502485754164033
0.0277215488144374,0.0606066771843724,0.457400902050863,0.647395663635986
0.152486259844367,0.0150462515116791,10.134501588386,5.46645903205344e-24
-0.00463022026160097,0.00154381359044641,-2.99920941897012,0.0027153612118369
-0.0657511826698537,0.0375627430902321,-1.75043613060708,0.0800824250649723
0.125398988285608,0.0569535448336432,2.2017767050653,0.0277102730586351
0.623664747831441,0.0881529891870107,7.07479977234099,1.62646124710792e-12
0.000349054044277409,0.00047451790159791,0.735597209508833,0.461997993563596
4.06034208040978e-05,3.85570808067087e-06,10.5307300123803,9.28048993968874e-26
1.68812872288722e-06,7.0958629435181e-06,0.237903231266506,0.81196240210294
-0.259463868677077,0.0549416933782965,-4.72253133682211,2.3699827530519e-06
0.0794183988133328,0.0527383250437059,1.50589535688735,0.132134558130552
0.000880160647378856,0.000248356366197655,3.54394236336337,0.000396499991555581
-0.00312634313370146,0.00315166190469195,-0.991966533290644,0.321244641619658
0.000492939890109439,0.000678850827559718,0.726138748156827,0.467775518902246
0.000802515653924208,0.000400724430133151,2.00266216276745,0.0452481319446456
